race_id,cand_key,note
2026_MI_Governor,duggan m,"Mike Duggan ended his independent gubernatorial bid; exclude his (stale) poll rows."
2026_NE_Senate,burbank c,"Cindy Burbank: fringe candidate in early multi-way ballot tests; NE Dems did not field a nominee vs Osborn. Exclude so Osborn is the clean 2-way challenger."
2026_NE_Senate,forbes w,"William Forbes: fringe/also-ran in early NE-Sen ballot tests; not the general matchup."
2026_WI_Governor,barnes m,"Mandela Barnes withdrew 2026-07-30 (12 days before the Aug 11 primary) amid Francesca Hong's rise and reported party review of allegations. Was still the model's #2 at 0.7%."
2026_WI_Governor,rodriguez s,"Sara Rodriguez (Lt. Gov.) withdrew 2026-07-17 over campaign finance-reporting problems. David Crowley, who had dropped out and endorsed her, re-entered 2026-07-18 and is still an active candidate - do NOT add him."
2026_CT_Governor,stewart e,"Erin Stewart suspended her CT-Gov campaign on the eve of the May 2026 GOP convention. The model had her at 99% on a single stale poll while the ACTUAL nominee (Ryan Fazio, 92% of convention delegates) sat at 0.4%. Worst roster miss found 2026-08-05."
2026_CT_Governor,lumaj p,"Peter Lumaj: did not reach the 15% convention threshold to qualify for the Aug 11 CT-Gov-REP primary ballot."
2026_CT_Governor,lauretti m,"Mark Lauretti: did not reach the 15% convention threshold to qualify for the Aug 11 CT-Gov-REP primary ballot."
2026_CT_Governor,tooker j,"Jennifer Tooker: did not reach the 15% convention threshold to qualify for the Aug 11 CT-Gov-REP primary ballot."
2026_WI_Governor,hughes m,"Missy Hughes suspended her campaign 2026-06-22 (first of three WI-Gov withdrawals) and endorsed Rodriguez, who then withdrew herself. NOTE she REMAINS ON THE BALLOT - Wisconsin's withdrawal deadline had passed - so she can still take votes, but she is not campaigning."
2026_FL_House-23,moskowitz j,"Jared Moskowitz is the FL-23 incumbent but announced 2026-05-28 he is running in the NEW FL-25 after mid-decade redistricting reconfigured his seat. He is an ACTIVE candidate in 2026_FL_House-25 (4 polls) - this entry removes only the stale FL-23 rows."
